,drama name,aired,ratings,no of ratings,synopsis,screenwriter,director,genre,country,episodes,type,original network,duration,ranking,popularity,content rating
119,Big Mouth ,"Jul 29, 2022 - Sep 17, 2022",8.5,41751,"Park Chang Ho has been known since his school days as ""Big Mouth"" because he talks big and promises big things but can not follow through. He is also an infamous lawyer with a very low success rate who was hired by a mayor because of his incompetence. Unfortunately, he was framed as the notorious and mysterious swindler ""Big Mouse"" and sent to prison.

Ko Mi Ho is Park Chang Ho's loving wife who works as a nurse. She has a strong personality and will do anything to prove the innocence of her husband and help solve the case the mayor has given to her husband.

Will Ko Mi Ho be successful in proving her husband's innocence? Or will her investigations lead to opening a can of worms?

(Source: I'M YourOnlyOne at MyDramaList)  English 한국어 中文(简体) Arabic","Jang Young Chul, Jung Kyung Soon","Oh Choong Hwan, Bae Hyun Jin","Thriller, Mystery, Law, Drama",South Korea,16,Drama,MBC,1 hr. 11 min.,#477,#122,15+ - Teens 15 or older
120,Welcome to Samdal-ri ,"Dec  2, 2023 - Jan 21, 2024",8.6,54525,"After losing his mother—who worked as a haenyeo (female diver who harvests sea life)—at a young age due to a mistaken weather report, Cho Yong Pil makes up his mind to become a weather forecaster and protect the elders of his hometown. However, his passion and refusal to let misinformation slide earns him a reputation at work as a stubborn troublemaker who isn’t afraid to argue with his boss.

Cho Sam Dal grew up with Cho Yong Pil. Unlike Cho Yong Pil, content to remain in his hometown of Samdalri, Cho Sam Dal makes it her mission to get out of their small town and move to Seoul. After years of toiling away as an assistant in the fashion photography industry, Cho Sam Dal—who changes her name to Cho Eun Hye in Seoul—finally succeeds and makes it to the top. However, when everything she’s worked so hard to build comes crashing down in the blink of an eye, she returns to Samdalri, where people still know her as Sam Dal and not Eun Hye.

Although Cho Yong Pil and Cho Sam Dal used to be joined at the hip when they were younger, the once inseparable friends are no longer in contact with one another due to an incident that drove them apart. When Cho Sam Dal returns to Samdalri, however, they find that the longtime affection they once had for one another comes rushing back. 

(Sources: Soompi; Netflix; edited by MyDramaList)  English 한국어 Arabic Русский",Kwon Hye Joo,Cha Young Hoon,"Comedy, Romance, Life, Drama",South Korea,16,Drama,jTBC,1 hr. 10 min.,#456,#123,15+ - Teens 15 or older
121,See You in My 19th Life ,"Jun 17, 2023 - Jul 23, 2023",8.4,53184,"Ban Ji Eum has the ability to remember all her past lives, living through countless reincarnations for nearly a thousand years. After a tragic accident ends her previous life, she seeks to reconnect with the people from that life, focusing on Moon Seo Ha, whom she met in her 18th life. As she navigates her 19th life, will memories of her past hinder her romance, or can love endure across lifetimes?

Meanwhile, Yoon Cho Won, a landscape architect and the younger sister of Yoon Joo Won, struggles to maintain her brightness after her sister’s death. Upon meeting Ban Ji Eum, she sees her sister in her and becomes curious about Ban Ji Eum’s identity.

Ha Do Yoon, Moon Seo Ha’s childhood friend and secretary, feels a mysterious connection with him, despite their different backgrounds.

(Source: MyDramaList)

~~ Adapted from the webtoon ""See You in My 19th Life"" (이번 생도 잘 부탁해) by Lee Hye (이혜).  English ภาษาไทย Arabic Українська","Han Ah Reum, Choi Young Rim",Lee Na Jung,"Comedy, Romance, Drama, Fantasy",South Korea,12,Drama,tvN,1 hr. 10 min.,#840,#124,15+ - Teens 15 or older
122,KinnPorsche ,"Apr  2, 2022 - Jul  9, 2022",N/A,N/A,"The second son of a Mafia boss, Kinn Theerapanyakul, is fleeing from an enemy when he meets Porsche, an enterprising young bartender. Porsche agrees to help defend Kinn from his attackers for a price.

Porsche's martial arts skills impress, and spurred on by his father, Kinn seeks to hire Porsche as one of his personal bodyguards. Porsche is opposed and rejects Kinn’s offer despite his attempts at intimidation.  It isn't until Porsche's family home and his ability to care for his brother are threatened that he acquiesces and moves onto the Theerapanyakul property. 

It's not a smooth transition into the unorthodox, violent job, and his relationship with Kinn vacillates between strained and playful. When his feelings for Kinn take an unexpected turn, his work becomes even more high-stakes. 

(Source: MyDramaList) 

~~ Adapted from the web novel ""KinnPorsche"" (คินน์พอร์ช) by daemi.  English 한국어 日本語 ภาษาไทย",Pond Krisda Witthayakhajorndet,Pond Krisda Witthayakhajorndet,"Action, Romance, Crime, Drama",Thailand,14,Drama,iQiyi One 31,60 min.,#2604,#126,15+ - Teens 15 or older
123,School 2017 ,"Jul 17, 2017 - Sep  5, 2017",8.1,45084,"The drama follows Ra Eun Ho, an 18-year-old girl with dreams of becoming a webtoon artist, as she struggles in a school that discriminates based on wealth and academic performance. When she's wrongly framed as the legendary Student X, a mysterious troublemaker, her future is threatened. Alongside Hyun Tae Woon, the aloof son of the school's director, who has a troubled past, they form an unlikely alliance. As their relationship grows, they join forces with other students to challenge the corrupt school system and bring about change.

(Source: MyDramaList)  English 한국어 ภาษาไทย Русский",Jung Chan Mi,"Song Min Yeop, Park Jin Suk","Mystery, Comedy, Romance, Youth",South Korea,16,Drama,KBS2,60 min.,#1920,#127,15+ - Teens 15 or older
124,Put Your Head on My Shoulder ,"Apr 10, 2019 - May  8, 2019",8.3,52649,"On the verge of graduation, accounting major Situ Mo struggles with her uncertain future. Used to having everything planned, she can't bring herself to make decisions. When the school districts merge, genius physics student Gu Weiyi disrupts her routine. Their constant clashes soon turn into an unexpected bond, and they end up living together, slowly discovering they have fallen for each other.

(Source: MyDramaList)

~~ Adapted from the web novel ""Put Your Head on My Shoulder"" (致我们暖暖的小时光) by Zhao Qian Qian (赵乾乾).  English 中文(台灣) 中文(简体) हिन्दी","Dai Qi, Eva, Wu Xue Ying",Zhu Dong Ning,"Comedy, Romance, Life, Youth",China,24,Drama,Tencent Video,42 min.,#963,#128,13+ - Teens 13 or older
125,Kingdom ,"Jan 25, 2019",8.8,49854,"As the Joseon King succumbs to smallpox  the rumors of his death begin. The Cho Clan, which is the clan of the pregnant Queen and her father, together with the the Chief State Councillor, Cho Hak Joo, declare the Crown Prince a traitor.

Questioning the circumstances surrounding the King’s death, the Crown Prince and his guard, Moo Young, set out to locate Lee Seung Hui, the last physician to treat his father. But the two end up stuck with Assistant Physician Seo Bi and a mysterious man named Young Shin in a village plagued with a terrifying disease.

(Source: MyDramaList)  English 한국어 中文(台灣) 中文(简体)",Kim Eun Hee,Kim Sung Hoon,"Thriller, Historical, Horror, Political",South Korea,6,Drama,Netflix,51 min.,#179,#129,18+ Restricted (violence & profanity)
126,Doctors ,"Jun 20, 2016 - Aug 23, 2016",7.9,44039,"Yoo Hye Jeong was a tough bully in school with a prickly personality and always went wayward. She had many scars from her childhood, and through self-preservation, Hye Jeong keeps her heart shut away from other people. However, she changes after meeting her mentor, Hong Ji Hong, who plays a key role in transforming her life from a helpless gangster to a compassionate doctor.

(Source: iQiyi)  English Arabic Русский Türkçe",Ha Myung Hee,Oh Choong Hwan,"Comedy, Romance, Drama, Medical",South Korea,20,Drama,SBS,60 min.,#3196,#130,15+ - Teens 15 or older
127,Still 17 ,"Jul 23, 2018 - Sep 18, 2018",8.4,46086,"Woo Seo Ri, a violin prodigy at seventeen who was about to study in Germany, got into a bus accident and fell into a coma, waking up thirteen years later. Mentally, she is still only seventeen, while physically, she is now thirty. 

Due to a trauma he experienced thirteen years earlier, Kong U Jin does not want to have a relationship with others.

This series is about a man and a woman whose lives, in their own ways, essentially paused at seventeen. Together, they use all their might to try to open the door to the happiness they once thought had been closed to them.

(Source: MyDramaList)  English Arabic Русский Français",Jo Sung Hee,"Jo Soo Won, Kim Young Hwan","Music, Mystery, Comedy, Romance",South Korea,32,Drama,SBS,35 min.,#736,#131,15+ - Teens 15 or older
128,Doctor Stranger ,"May  5, 2014 - Jul  8, 2014",7.9,42783,"As a child, Park Hoon and his father were kidnapped by North Korea. In North Korea, he was trained to become a doctor by his father who was already a doctor. Park Hoon became a genius-like heart surgeon. He then flees to South Korea. Park Hoon begins to work as a doctor in South Korea's top hospital Myeongwoo University Hospital, but he feels like a complete outsider. To bring his love from North Korea, he does anything to make money.

(Source: AsianWiki)  English Arabic Русский Français",Park Jin U,"Hong Jong Chan, Jin Hyeok","Thriller, Romance, Drama, Medical",South Korea,20,Drama,SBS,60 min.,#3165,#132,15+ - Teens 15 or older
129,Dr. Romantic ,"Nov  7, 2016 - Jan 16, 2017",8.7,44834,"Kim Sa Bu was once a famous surgeon at the peak of his career at a major hospital. But he suddenly gives it all up one day to live in seclusion and work as a neighborhood doctor in a small town. He now goes by “Teacher Kim” and refers to himself as the “Romantic Doctor”. 

Meanwhile, Kang Dong Ju became a doctor to make something of himself after growing up poor, and he seeks out VIP patients to achieve the success that he desperately wants. Yoon Seo Jung is a passionate young surgeon who is haunted by a mistake from her past and tries to get over it. 

When Dong Ju and Seo Jung meet the quirky Teacher Kim, their lives and careers will never be the same again.

(Source: MyDramaList)  English 한국어 Arabic Українська",Kang Eun Kyung,"Yoo In Shik, Park Soo Jin","Romance, Drama, Medical",South Korea,20,Drama,SBS,60 min.,#270,#133,15+ - Teens 15 or older
130,Snowdrop ,"Dec 18, 2021 - Jan 30, 2022",8.4,38131,"In 1987, a bloody man jumps into a women’s university dormitory in Seoul. Yeong Ro, a female university student who falls in love with him at first sight on a group blind date, takes care of him despite the strict surveillance and dangerous situation. However, Yeong Ro is shocked to learn his secret. Despite heartbreakingly watching over his first love, Yeong Ro, Su Ho has no choice but to move according to the command in order to save his teammates and to go back to his home country, where his sibling awaits. Yeong Ro rejects the will of her father and works hand in hand with Su Ho to save her beloved man and her friends. What will happen to their fate?

(Source: Disney+)

~~ Adapted from the handwritten journal of a North Korean defector.  English 中文(简体) ภาษาไทย Arabic",Yoo Hyun Mi,Jo Hyun Tak,"Romance, Drama, Melodrama, Political",South Korea,16,Drama,jTBC,1 hr. 30 min.,#785,#134,15+ - Teens 15 or older
131,Tempted ,"Mar 12, 2018 - May  1, 2018",7.5,40231,"Rich and privileged twenty-somethings uncover their true motives and reveal their depravity while playing a dark and dangerous game.

Set on revenge, popular player Kwon Shi Hyun makes a bet with friends he can seduce Eun Tae Hee, a naive girl who believes those swayed by love are foolish. Time spent together leads Tae Hee to reassess her view of love. As Shi Hyun's secret deepens, so do his feelings for his intended victim. Can scandal and heartache be far off? 

(Source: Wikipedia)

~~ Adapted loosely on the novel ""Les Liaisons Dangereuses"" by Pierre Choderlos-de-Laclos.
~~ Two versions available: 32 episodes (TV) || 16 episodes (online)  English Русский Türkçe magyar / magyar nyelv",Kim Bo Yeon,"Kang In, Lee Dong Hyeon","Romance, Youth, Drama, Melodrama",South Korea,32,Drama,MBC,35 min.,#6093,#135,15+ - Teens 15 or older
132,Semantic Error ,"Feb 16, 2022 - Mar 10, 2022",8.1,63051,"Chu Sang U, a by-the-book computer science student, is left to complete a group project alone. In frustration, he removes his teammates' names and submits the work under his own. This decision impacts Jang Jae Yeong, a popular design major with dreams of studying abroad, as he loses credit for the project. Seeking revenge, Jang confronts Chu, but when they are forced to work together, an unexpected attraction begins to grow between them.

(Source: MyDramaList)

~~ Adapted from the web novel ""Semantic Error"" (시맨틱 에러) by Jeo Soo Ri (저수리).  English ภาษาไทย Arabic Русский",Jason,Kim Soo Jung,"Comedy, Romance, Life, Youth",South Korea,8,Drama,Watcha,25 min.,#1791,#136,13+ - Teens 13 or older
133,Welcome to Waikiki ,"Feb  5, 2018 - Apr 17, 2018",8.5,43759,"Three young men—Dong Gu, an unlucky aspiring film director; Jun Gi, an eccentric actor; and Du Sik, a lazy freelance writer—open a guesthouse called “Waikiki” in Itaewon to fund their film. Despite their lack of experience, they dive into the challenge.

They are joined by Dong Gu’s practical sister Seo Jin, single mother Yun A with her mysterious baby, and Dong Gu’s ex-girlfriend Su A, creating a chaotic and uneasy household.

(Source: MyDramaList)  English 中文(简体) Arabic Русский",Kim Ki Ho,Lee Chang Min,"Comedy, Romance, Life, Drama",South Korea,20,Drama,jTBC,1 hr. 5 min.,#476,#138,15+ - Teens 15 or older
134,Bloodhounds ,"Jun  9, 2023",8.7,52617,"When reserved rookie boxer Kim Geon U squares off against loquacious southpaw Hong U Jin, Geon U narrowly prevails — but the two former marines become fast friends. As their friendship grows, so do the financial woes that plague Geon U’s mother. To save her quaint café from going under, she signs off on a hefty loan. But when it turns out she’s been targeted by Smile Capital — a ruthless loan shark business — Geon U and U Jin do everything in their power to make it right. Fate intervenes as the pair end up working for a generous moneylender whose foster daughter is dead set on taking down the loan sharks.

(Source: Netflix)

~~ Adapted from the webtoon ""Bloodhounds"" (사냥개들) by Jeong Chan (정찬).  English 한국어 ภาษาไทย Arabic",Jason Kim,Jason Kim,"Action, Thriller, Crime, Drama",South Korea,8,Drama,Netflix,60 min.,#272,#137,18+ Restricted (violence & profanity)
135,The Trauma Code: Heroes on Call ,"Jan 24, 2025",9.1,51492,"Baek Gang Hyeok, a genius trauma surgeon with experience in conflict zones, joins a university hospital to lead its severe trauma team. His confident, bulldozer-like personality clashes with the hospital's financial struggles as the team saves more patients. The team includes Yang Jae Won, a former proctology surgeon who becomes Baek Gang Hyeok’s first pupil, nurse Cheon Jang Mi, and anesthesiologist resident Park Gyeong Won. Under Baek Gang Hyeok's leadership, the team transforms from a symbolic unit into one that actively saves lives.

(Source: MyDramaList)

~~ Adapted from the web novel ""Jungjeungoesangsenteo: Goldeun Awo"" (중증외상센터: 골든 아워) by Hansan iga (한산이가).  English ภาษาไทย Arabic Русский",Choi Tae Gang,Lee Do Yoon,"Action, Comedy, Drama, Medical",South Korea,8,Drama,Netflix,51 min.,#40,#139,15+ - Teens 15 or older
136,2gether ,"Feb 21, 2020 - May 15, 2020",7.7,59414,"Tine is a handsome student and cheerleader in college, while Sarawat is one of the most popular guys on campus and a leading light in the soccer and music clubs. When Tine is chased by Green, whose feelings he does not reciprocate, he ends up begging Sarawat to pretend to be dating him in order to chase Green away. 

Gradually, in a story as old as time, pretence begins to turn into reality. However, before there can be a ""happily ever after,"" there must be the process of falling in love, and the dawning realization that they aren't pretending anymore. Somehow, they do not want to. 

(Source: Soju at MyDramaList)

~~ Adapted from the novel ""Because We ... Belong Together"" (เพราะเรา ... คู่กัน) by JittiRain.  English 中文(简体) ภาษาไทย Українська","Pratchaya Thavornthummarut, Bee Pongsate Lucksameepong",Champ Weerachit Thongjila,"Music, Comedy, Romance, Drama",Thailand,13,Drama,GMM 25,50 min.,#4899,#140,13+ - Teens 13 or older
137,Doctor Slump ,"Jan 27, 2024 - Mar 17, 2024",8.2,46741,"Yeo Jeong U, a successful plastic surgeon, has always excelled academically until a mysterious medical accident turns his life upside down. At his lowest point, he reunites with Nam Ha Neul, a former rival. Ha Neul, an anesthesiologist known for her brilliance, has focused solely on work and studying, neglecting her happiness. Realizing she wants a change, she meets Jeong U during a difficult moment in her life. They find comfort in each other, and a romance begins to develop.

(Source: MyDramaList)  English 한국어 中文(简体) ภาษาไทย",Baek Sun Woo,Oh Hyun Jong,"Comedy, Romance, Drama, Medical",South Korea,16,Drama,jTBC,1 hr. 5 min.,#1461,#141,15+ - Teens 15 or older
138,Dream High ,"Jan  3, 2011 - Feb 28, 2011",8,48181,"Dream High tells the story of six students at Kirin Art High School who work to achieve their dreams of becoming music stars in the Korean music industry. Go Hye Mi is a student who majored in classical music but has to give up her dream by entering Kirin Art High School to pay off her father's debt. However, she needs to get two other students to also come to the school in order for her to enroll in the school conditionally. These two students are Song Sam Dong, who lives in the countryside, and Jin Guk, whom she accidentally meets while trying to escape from a loan shark. Yoon Baek Hee, formerly Hyemi's sidekick, becomes her rival in school because Hye Mi betrays her during an audition to enter the school. 

(Source: MyDramaList)  English 中文(简体) ภาษาไทย Arabic",Park Hye Ryun,"Lee Eung Bok, Kim Seong Yoon","Music, Comedy, Romance, Drama",South Korea,16,Drama,KBS2,1 hr. 10 min.,#2599,#142,15+ - Teens 15 or older
139,Save Me ,"Aug  5, 2017 - Sep 24, 2017",8.5,33788,"Following the failure of her father's business, Sang Mi and her family move to Muji-gun, where they have no friends or relatives. There she meets four young men, Han Sang Hwan, Seok Dong Cheol, Woo Jung Hoon, and Choi Man Hee. When Sang Mi and her family face some trouble, Spiritual Father Baek Jung Ki of Goosunwon offers to help them. However, her family is slowly getting sucked into the pseudo-religious cult, and the four young men try to save her.

(Source: MyDramaList)

~~ Adapted from the webtoon “Out of the World” by Jo Geum San.  English 한국어 中文(简体) 日本語",Jung Yi Do,Kim Sung Soo,"Action, Thriller, Mystery, Drama",South Korea,16,Drama,OCN,60 min.,#637,#143,15+ - Teens 15 or older
140,Are You Human? ,"Jun  4, 2018 - Aug  7, 2018",8.2,39680,"The drama tells of an android called Nam Sin III, who must pretend to be the son of a rich family when the real Nam Sin falls into a coma. 

Nam Sin's mother, O Ro Ra, is a genius at brain technology and artificial intelligence (AI), so when her son, the real Nam Sin, is taken away from her at a young age, in her grief, she creates an android that looks exactly like her son and has it grow up in place of Nam Sin. 

But when Nam Sin, who is a third-generation heir to the PK group, gets in an accident and becomes comatose, the android Nam Sin III must learn how to take his place. 

(Source: AJ at MyDramaList)  English Arabic Русский हिन्दी",Jo Jung Joo,Cha Young Hoon,"Comedy, Romance, Sci-Fi, Fantasy",South Korea,36,Drama,KBS2,35 min.,#1531,#144,15+ - Teens 15 or older
141,Memories of the Alhambra ,"Dec  1, 2018 - Jan 20, 2019",8,40142,"Yoo Jin U, a competitive CEO and video game developer, visits Granada, Spain, seeking the inventor of a groundbreaking augmented-reality game. Staying at a hostel owned by Jung Hui Ju, a former classical guitarist turned caretaker after her parents' death, they become entangled in mysterious and unexpected events.

(Source: MyDramaList)  English 中文(简体) 中文(台灣) ภาษาไทย",Song Jae Jung,Ahn Gil Ho,"Action, Thriller, Romance, Sci-Fi",South Korea,16,Drama,tvN,1 hr. 10 min.,#2740,#146,15+ - Teens 15 or older
142,Destined with You ,"Aug 23, 2023 - Oct 12, 2023",8.2,50012,"Lee Hong Jo, a low-ranking civil servant, always does her best despite constant complaints and a lonely personal life. One day, she comes into possession of an old wooden chest and the key to lift a curse affecting Jang Sin Yu.

Jang Sin Yu, a smart and handsome lawyer, suffers from a mysterious illness tied to a centuries-old family curse. As his condition worsens, he becomes desperate to break it, leading to an unexpected connection with Hong Jo.

(Source: AsianWiki; Netflix)  English Arabic Русский Українська",Noh Ji Sul,Nam Ki Hoon,"Comedy, Romance, Drama, Fantasy",South Korea,16,Drama,jTBC,1 hr. 10 min.,#1719,#147,15+ - Teens 15 or older
143,Reply 1997 ,"Jul 24, 2012 - Sep 18, 2012",8.4,41721,"Set in the 1990s, the drama centers around a female high school student Shi Won, who idolizes boyband H.O.T, and her 5 high school friends in Busan. As the timeline moves back and forth between their past as 18-year-old high schoolers in 1997 and their present as 33-year-olds at their high school reunion dinner in 2012, where one couple will announce that they're getting married.  English Русский Français Español","Lee Woo Jung, Kim Ran Joo",Shin Won Ho,"Comedy, Romance, Life",South Korea,16,Drama,tvN,60 min.,#738,#148,15+ - Teens 15 or older
144,Study Group ,"Jan 23, 2025 - Feb 20, 2025",8.9,48274,"Yun Ga Min, a student at the struggling Yusung Technical High School, is determined to go to college despite his poor grades and knack for fighting. He forms a study group but is forced to use his fighting skills to protect his friends from bullies. His teacher, Lee Han Gyeong, who tutored him while he was a middle school student, returns as a temporary teacher with a secret and hopes to improve the school.

(Source: MyDramaList)

~~ Adapted from the webtoon ""Study Group"" (스터디그룹) written by Shin Hyung Wook (신형욱) and illustrated by Ryu Seung Yeon (류승연).  English 한국어 ภาษาไทย Arabic",Oh Bo Hyun,Lee Jang Hoon,"Action, Thriller, Comedy, Youth",South Korea,10,Drama,TVING,42 min.,#120,#149,18+ Restricted (violence & profanity)
145,The Good Bad Mother ,"Apr 26, 2023 - Jun  8, 2023",8.9,47112,"Young Soon is a single mother and pig farmer who raised her son Kang Ho alone. Despite her love for him, her strict parenting caused Kang Ho to view her as a bad mother. As an adult, Kang Ho became a cold-hearted prosecutor and kept his distance from his mother. However, an unexpected accident caused him to return to his hometown and start over with Young Soon. Kang Ho's childhood friend Mi Joo, known for her warm heart and strong sense of justice, also reconnected with him after his accident, leading to a transformative experience for her.

(Source: CK Warrior at MyDramaList)  English 한국어 ภาษาไทย Arabic",Bae Se Young,Shim Na Yeon,"Comedy, Life, Drama, Family",South Korea,14,Drama,jTBC,1 hr. 10 min.,#108,#150,15+ - Teens 15 or older
146,D.P. ,"Aug 27, 2021",8.8,45423,"Private soldier Jun Ho is a confused youth who served in the military normally like other Koreans. One day, he suddenly becomes a member of the military defector arrest team. As such, he is tasked with capturing deserters and must grapple with the more troubling cases of why some soldiers feel they have no other choice but to go absent without official leave.

(Source: NamuWiki, DramaWiki)

~~ Adapted from the webtoon ""D.P Dog Day"" (D.P 개의 날) by Kim Bo Tong (김보통).  English 한국어 中文(简体) 中文(台灣)",Kim Bo Tong,Han Jun Hee,"Action, Military, Drama",South Korea,6,Drama,Netflix,50 min.,#191,#151,15+ - Teens 15 or older
147,Bad and Crazy ,"Dec 17, 2021 - Jan 28, 2022",8.5,36683,"Soo Yeol, a skilled but morally compromised officer in the Anti-Corruption Unit, faces a turning point after meeting K, a righteous but eccentric man. Despite his high school diploma, Soo Yeol has climbed the ranks by catering to his superiors' desires, often ignoring justice in the process. As promotion time nears, he fears being left behind, especially after his hopes with Congressman Do Yoo Gon are shattered by K's arrival. Together, the ""bad boy"" and the ""crazy guy"" form an unlikely partnership—bringing both chaos and change.

(Source: MyDramaList)  English 中文(简体) Arabic Українська",Kim Sae Bom,Yoo Seon Dong,"Action, Thriller, Mystery, Comedy",South Korea,12,Drama,tvN,1 hr. 10 min.,#546,#152,15+ - Teens 15 or older
148,SKY Castle ,"Nov 23, 2018 - Feb  1, 2019",8.7,36586,"Han Seo Jin, Noh Seung Hye, Jin Jin Hee, and Lee Myung Joo all live with their families in SKY Castle, a luxury private neighborhood hosting wealthy doctors and professors. All of the women wish for their children to enter prestigious universities and are actively supporting their education.

Following the acceptance of Myung Joo’s son into Seoul National University as a medical student, an incident occurs, resulting in the family quickly moving out. To the surprise of Sky Castle’s residents, Lee Soo Im and her inferior family move in. After interacting with the families there, Soo Im takes it upon herself to help the stressed children by challenging the other women of SKY Castle, meanwhile questioning her ways of supporting her step-son as well. She soon starts to uncover the truth of what happened to Myung Joo's family and their relation to the grade coordinator, Kim Joo Young.

(Source: MyDramaList)  English 한국어 日本語 中文(简体)",Yoo Hyun Mi,Jo Hyun Tak,"Mystery, Psychological, Drama",South Korea,20,Drama,jTBC,1 hr. 15 min.,#232,#153,15+ - Teens 15 or older
149,Weak Hero Class 2 ,"Apr 25, 2025",8.8,54638,"The weak must break their limits or be broken.

After transferring to Eunjang High School, Yeon Si Eun still carries the scars of his past - a brutal lesson in what it means to fight and fail. Determined to never lose another friend, he forms unlikely bonds with Park Hu Min, Seo Jun Tae, and Ko Hyeon Tak, but their friendship soon attracts the attention of Alliance, a ruthless gang led by the vicious Na Baek Jin.

Forced into yet another war of survival, Si Eun must push himself beyond his limits. But against an enemy stronger and more merciless than anything he’s faced before, will he be able to protect those at his side - or will he once again watch helplessly as they fall?  

The fight for dominance begins. Only the strongest will stand.

(Source: MyDramaList)

~~ Adapted from the webtoon “Weak Hero” (약한영웅) written by SeoPass and illustrated by Kim Jin Seok.  English 한국어 ภาษาไทย Русский",Yoo Su Min,Yoo Su Min,"Action, Thriller, Youth, Drama",South Korea,8,Drama,Netflix,43 min.,#140,#154,18+ Restricted (violence & profanity)
150,Bad Buddy ,"Oct 29, 2021 - Jan 21, 2022",8.3,56153,"Ever since they were young, Pran and Pat's families had a deep and raging rivalry, trying to one-up each other on everything. This also extended to their sons. Comparing their sons' achievements and merits,—whether it be academic or extracurricular—the two families leave no stone unturned to outshine and gloat in front of the other.

The rivalry was passed down as a family heirloom and the two boys become rivals in turn. Until... they grow tired and become friends. Really good friends. However, because of their families' rivalry, their friendship has to be kept under wraps. And so began a journey of secret friendship... and then perhaps a secret romance?

(Source: Soju at MyDramaList)

~~ Adapted from the novel ""Behind The Scenes"" (หลังม่าน ) by Afterday and -West-.  English 中文(简体) 日本語 ภาษาไทย","Pratchaya Thavornthummarut, Bee Pongsate Lucksameepong, Best Kittisak Kongka",Aof Noppharnach Chaiyahwimhon,"Comedy, Romance, Youth",Thailand,12,Drama,GMM 25 WeTV,55 min.,#1095,#155,13+ - Teens 13 or older
151,Mr. Plankton ,"Nov  8, 2024",8.6,47085,"Hae Jo, ostracized due to his unknown parentage, sets out to find his real father after life-changing news. Cho Jae Mi, longing for a family, joins him despite being engaged to Eo Heung, heir to the Eo family's food company. Pressured to marry by a false pregnancy claim, Jae Mi vanishes with Hae Jo on her wedding day, just before the ceremony.

(Source: MyDramaList)  English 한국어 Arabic עברית / עִבְרִית",Jo Yong,Hong Jong Chan,"Comedy, Romance, Drama",South Korea,10,Drama,Netflix,60 min.,#431,#156,15+ - Teens 15 or older
152,The Penthouse: War in Life ,"Oct 26, 2020 - Jan  5, 2021",8.7,41180,"The residents of Hera Palace, a luxury penthouse apartment with 100 floors, have many secrets and hidden ambitions. Sim Su Ryeon, who was born into wealth, is the queen of the penthouse apartment. Cheon Seo Jin, the prima donna of the residence, does all she can to give everything to her daughter. Oh Yoon Hee comes from a poor family background, but she strives to enter high society by becoming the queen of the penthouse, the pinnacle of success in her eyes. A battle for wealth, power, and prestige at Seoul’s most coveted penthouse begins.

(Source: KOCOWA)  English 한국어 中文(简体) 日本語",Kim Soon Ok,Joo Dong Min,"Thriller, Mystery, Drama",South Korea,21,Drama,SBS,1 hr. 25 min.,#276,#157,15+ - Teens 15 or older
153,My First First Love ,"Apr 18, 2019",7.6,42473,"A group of Yun Tae O’s friends suddenly move into his house for their own personal reasons, where they experience love, friendships, and struggles. Song I and Tae O have been friends since they were three years old; Choi Hun is an aspiring theater actor; Ga Rin is an heiress to a rich family.

When Song I meets another friend of Tae O—Do Hyeon, who acts cold to girls and works several jobs—their friendship is tested.

(Source: MyDramaList)  English 한국어 中文(台灣) Русский",Kim Ran,Oh Jin Suk,"Comedy, Romance, Life, Youth",South Korea,8,Drama,Netflix,50 min.,#5214,#159,13+ - Teens 13 or older
154,Melting Me Softly ,"Sep 28, 2019 - Nov 17, 2019",7.6,33857,"In this drama, Ma Dong Chan, a renowned producer in the entertainment industry, and Go Mi Ran, a part-timer struggling with family debts, become participants in the ""24-Hour Frozen Human Project."" This experiment was supposed to freeze them for a day but instead keeps them frozen for two decades. To survive, they must maintain a body temperature below 33°C. As they thaw, they face unresolved personal challenges while adapting to a world that has moved on without them, all while trying to repay their family's debts.

(Source: MyDramaList)  English 中文(简体) ภาษาไทย Русский",Baek Mi Kyung,Shin Woo Cheol,"Mystery, Comedy, Romance, Sci-Fi",South Korea,16,Drama,tvN,1 hr. 5 min.,#5026,#160,15+ - Teens 15 or older
155,Backstreet Rookie ,"Jun 19, 2020 - Aug  8, 2020",7.6,40732,"Jung Saet Byul is a 22-year-old, beautiful four-dimensional girl with amazing fighting skills, loves her friends, family, and retro fashion. Although boys are lining up to date her, she only looks at Choi Dae Hyun, a handsome convenience store owner. Three years ago, he became imprinted upon her as an 'unforgettable person' after a cigarette errand. Flash forward to the present; Jung Saet Byul applies for a part-time position at Choi Dae Hyun's convenience store. There their love story begins as they heal the wounds of the heart, gain love, and become adults dreaming of the future. 

(Source: SBS)

~~ Adapted from the webtoon ""Convenience Store Saet Byul"" by Hwalhwasan.  English Arabic Русский Français",Son Geun Joo,Lee Myung Woo,"Action, Business, Comedy, Romance",South Korea,16,Drama,SBS,1 hr. 10 min.,#5021,#161,15+ - Teens 15 or older
