,drama name,aired,ratings,no of ratings,synopsis,screenwriter,director,genre,country,episodes,type,original network,duration,ranking,popularity,content rating
72,Vagabond ,"Sep 20, 2019 - Nov 23, 2019",8.5,56059,"Cha Dal Gun, devastated by his nephew’s death in a mysterious plane crash, embarks on a quest to uncover the truth behind a massive cover-up. Go Hae Ri, the eldest daughter of a fallen marine, had hoped for a simple life but becomes a National Intelligence Service (NIS) agent. Their paths cross as they uncover a web of corruption linked to the crash.

(Source: MyDramaList)  English 한국어 中文(台灣) ภาษาไทย","Jang Young Chul, Jung Kyung Soon",Yoo In Shik,"Action, Thriller, Mystery, Crime",South Korea,16,Drama,SBS,1 hr. 10 min.,#517,#75,15+ - Teens 15 or older
73,Cheese in the Trap ,"Jan  4, 2016 - Mar  1, 2016",7.3,56629,"Having returned to college after a year long break due to her family's poor background, Hong Seol, a hardworking over-achiever, inadvertently gets on the wrong side of her senior, Yoo Jung, who's athletic, good looking, gets good grades and has a kind personality, as well as a hidden dark side. From then on her life takes a turn for the worse and Hong Seol is almost certain it's all Yoo Jung's doing. So why is he suddenly acting so friendly a year later?

(Source: WeTV)

~~ Adapted from the webtoon ""Cheese in the Trap"" (치즈인더트랩) by Soonkki (순끼).  English Arabic Русский Ελληνικά",Kim Nam Hee,Lee Yoon Jung,"Psychological, Romance, Life, Drama",South Korea,16,Drama,tvN,1 hr. 5 min.,#7916,#76,15+ - Teens 15 or older
74,Love Next Door ,"Aug 17, 2024 - Oct  6, 2024",8.3,69077,"Choi Seung Hyo is the most noteworthy young architect in Korea, and he runs the architecture firm ""Atelier In."" Not only is he nearly perfect as an architect, but he is also very attractive and has a great personality. Yet, Choi Seung Hyo has experienced moments that he wants to erase from his life. Those moments usually involve Bae Seok Ryu. When they were 4 years old, their moms became friends. Because of their moms, Choi Seung Hyo and Bae Seok Ryu spent a lot of time together, bathing together at a women's bathhouse. Now, Choi Seung Hyo meets Bae Seok Ryu as an adult.

While growing up, Bae Seok Ryu’s life was smooth sailing. During her school days, she never missed ranking first academically at her school. She was always passionate and energetic in the things she did. After graduating from university, she was hired by a large company. She worked hard as a project manager, but for some reason, she quit her job. She has been unemployed since then. She meets Choi Seung Hyo.

(Source: AsianWiki)  English 한국어 中文(台灣) 中文(简体)",Shin Ha Eun,Yoo Je Won,"Comedy, Romance, Family",South Korea,16,Drama,tvN,1 hr. 20 min.,#1232,#77,15+ - Teens 15 or older
75,My Roommate Is a Gumiho ,"May 26, 2021 - Jul 15, 2021",8.3,59943,"Shin Woo Yeo is a handsome and smart writer, who is actually a 999-year-old nine-tailed fox. To become a human, he collects human energy in a bead.
One day, the drunk friend of Lee Dam, a university student, falls asleep on top of an expensive car whose owner is Woo Yeo. While Lee Dam struggles to take her friend away and Woo Yeo trying to help her, Woo Yeo's bead accidentally falls out of his mouth, and Lee Dam unintentionally swallows it. The bead can exist inside of a human for no more than 1 year and, afterward, the bead will break inside of that person causing the person to die. Not wanting to lose his chance in becoming a human, Woo Yeo explains to Lee Dam their predicament and suggests living together until they figure out a solution. Lee Dam, who has never had a boyfriend in her life, now lives with Shin Woo Yeo.

(Source: AsianWiki)

~~ Adapted from the webtoon ""My Roommate Is a Gumiho"" (간 떨어지는 동거) by Na (나).  English 한국어 日本語 中文(简体)","Baek Sun Woo, Choi Bo Rim",Nam Sung Woo,"Comedy, Romance, Fantasy",South Korea,16,Drama,tvN,1 hr. 10 min.,#1150,#78,15+ - Teens 15 or older
76,Coffee Prince ,"Jul  2, 2007 - Aug 28, 2007",8.3,62944,"Choi Han Gyeol is the grandson of chairwoman Bang of Dong-in Foods, a company that has a thriving coffee business. He has never had a job and does not care for responsibility. Han Gyeol is hung up on his first love, Han Yu Ju, who only sees him as a friend.

Ko Eun Chan is a 24-year-old tomboy who is often mistaken for a guy. Her father died when she was 16 years old, and since then, she has taken over as the breadwinner in her family. 

When Han Gyeol and Eun Chan meet, he, not knowing that she is a girl, decides to hire her to pretend to be his gay lover so that he can escape the blind dates arranged by his grandmother. After getting an ultimatum from his grandmother, Han Gyeol takes over a rundown old coffee shop, later renamed ""Coffee Prince,"" to prove that he's capable to both his grandmother and Yu Ju. In order to attract female customers, he only hires good-looking male employees. Eun Chan, desperate for money, continues to hide her gender to get a job at the Coffee Prince.

(Source: Wikipedia)

~~ Adapted from the novel “Coffee Prince” (커피프린스 1호점) by Lee Sun Mi (이선미).  English 中文(简体) Arabic Українська","Jang Hyeon Ju, Lee Jung Ah",Lee Yoon Jung,"Food, Comedy, Romance, Drama",South Korea,17,Drama,MBC,60 min.,#1294,#79,15+ - Teens 15 or older
77,Run On ,"Dec 16, 2020 - Feb  4, 2021",8.1,60537,"Ki Sun Gyeom, a former sprinter forced to quit due to legal troubles, meets Oh Mi Joo, a translator of movie subtitles who believes their encounter is fate. Meanwhile, Seo Dan Ah, the CEO of a sports agency and the rightful heir to Seomyung Group, battles gender discrimination while pursuing her goals. Lee Young Hwa, an art major with a love for movies, enters her life. Could romance blossom for these two couples?

(Source: MyDramaList)  English 한국어 中文(台灣) ภาษาไทย",Park Si Hyeon,Lee Jae Hoon,"Romance, Life, Drama, Sports",South Korea,16,Drama,jTBC,1 hr. 10 min.,#2022,#80,15+ - Teens 15 or older
78,Hospital Playlist Season 2 ,"Jun 17, 2021 - Sep 16, 2021",9.1,47945,"Everyday is extraordinary for five doctors and their patients inside a hospital, where birth, death and everything in between coexist.

(Source: Netflix)  English 한국어 中文(简体) 中文(台灣)",Lee Woo Jung,Shin Won Ho,"Romance, Life, Drama, Medical",South Korea,12,Drama,tvN,1 hr. 40 min.,#44,#81,15+ - Teens 15 or older
79,A Korean Odyssey ,"Dec 23, 2017 - Mar  4, 2018",8.2,54873,"In 2017, Son Oh Gong and Ma Wang are in conflict with each other as they look for a true light in a dark world where evil thrives. Having made a contract with Seon Mi 25 years ago, entitling her to seek help from Son Oh Gong whenever she calls him in exchange for letting him free, the two meet again in a fateful encounter. From there, Son Oh Gong is bound to his protective role towards Seon Mi, the little girl he had met years ago.

(Source: Wikipedia)

 ~~ Adapted from the classic Chinese novel “Journey to the West,” but reinterprets the story into the present day and has a romantic-fantasy twist.  English 한국어 中文(简体) 中文(台灣)","Hong Jeong Eun, Hong Mi Ran","Park Hong Kyun, Kim Jung Hyun, Kim Byung Soo","Horror, Comedy, Romance, Fantasy",South Korea,20,Drama,tvN,1 hr. 20 min.,#1591,#82,15+ - Teens 15 or older
80,Marry My Husband ,"Jan  1, 2024 - Feb 20, 2024",8.5,69326,"Kang Ji Won’s marriage to Park Min Hwan is strained due to his selfishness, unemployment, and a domineering mother. Ji Won is the family's sole breadwinner and does all the household chores. When she is diagnosed with terminal cancer, her world shatters further as she discovers her husband’s affair with her close friend, Jung Soo Min. A confrontation leads to her tragic death at Min Hwan's hands.

However, Ji Won wakes up 10 years in the past, before she married Min Hwan. Determined to change her fate, she plots to make Soo Min marry him instead. Meanwhile, Yoo Ji Hyeok, her colleague, secretly harbors feelings for Ji Won and conceals a hidden truth.

(Source: MyDramaList)

~~ Adapted from the web novel ""Marry My Husband"" (내 남편과 결혼해줘) by Seong So Jak (성소작).  English 한국어 日本語 中文(简体)",Shin Yoo Dam,Park Won Gook,"Comedy, Romance, Drama, Fantasy",South Korea,16,Drama,tvN,1 hr. 4 min.,#550,#83,15+ - Teens 15 or older
81,Secret Garden ,"Nov 13, 2010 - Jan 16, 2011",8.2,59600,"The drama tells the story of Kim Joo Won, an arrogant and eccentric CEO who maintains the image of seeming perfection, and Gil Ra Im, a poor and humble stuntwoman whose beauty and body are the object of envy amongst top actresses. Their accidental meeting, when Joo Won mistakes Ra Im for actress Park Chae Rin, marks the beginning of a tense, bickering relationship, through which Joo Won tries to hide a growing attraction to Ra Im that both confuses and disturbs him. To complicate matters further, a strange sequence of events results in them swapping bodies.  English 한국어 Arabic Русский",Kim Eun Sook,"Kwon Hyuk Chan, Shin Woo Cheol, Kim Jung Hyun","Comedy, Romance, Melodrama, Supernatural",South Korea,20,Drama,SBS,1 hr. 5 min.,#1646,#84,15+ - Teens 15 or older
